benchmark,config,ipc,l1_demand_misses,l1_prefetch_hits,bingo_requested,bingo_queued,bingo_queue_rejected,bingo_pc_address_hits,bingo_pc_offset_hits,speedup
500.perlbench_r,baseline_no_data_prefetch,2.349627066968171,18559.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
500.perlbench_r,bingo,2.5647599716645146,11002.0,7498.0,39994.0,39994.0,0.0,99.0,6261.0,1.0915604470687084
502.gcc_r,baseline_no_data_prefetch,0.044310530485883584,154072.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
502.gcc_r,bingo,0.044201042516282346,14481.0,119490.0,144168.0,144168.0,0.0,739.0,4766.0,0.9975290756305407
505.mcf_r,baseline_no_data_prefetch,0.6735097983591678,97403.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
505.mcf_r,bingo,0.7017354908059281,48798.0,111911.0,308176.0,308176.0,0.0,15139.0,69774.0,1.0419083620097658
520.omnetpp_r,baseline_no_data_prefetch,0.8699665141122082,98386.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
520.omnetpp_r,bingo,0.9224836664976676,62188.0,50905.0,179846.0,179846.0,0.0,5336.0,50410.0,1.0603668664638806
523.xalancbmk_r,baseline_no_data_prefetch,0.7016325381939087,233906.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
523.xalancbmk_r,bingo,0.9015382773471828,64331.0,121945.0,348313.0,348313.0,0.0,993.0,19505.0,1.2849151489864723
525.x264_r,baseline_no_data_prefetch,4.360299901457212,3644.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
525.x264_r,bingo,4.361912733820356,3190.0,272.0,1513.0,1513.0,0.0,28.0,445.0,1.000369890236817
531.deepsjeng_r,baseline_no_data_prefetch,2.2668769573067684,3434.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
531.deepsjeng_r,bingo,2.2734271576815135,3167.0,278.0,2474.0,2474.0,0.0,57.0,2137.0,1.002889526206366
541.leela_r,baseline_no_data_prefetch,1.761270108871205,337.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
541.leela_r,bingo,1.7647338585889816,245.0,136.0,1850.0,1850.0,0.0,18.0,157.0,1.0019666203953217
548.exchange2_r,baseline_no_data_prefetch,3.3392624169650578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
548.exchange2_r,bingo,3.3392624169650578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
557.xz_r,baseline_no_data_prefetch,1.3995616389963257,23604.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
557.xz_r,bingo,1.3810298389387021,22295.0,6268.0,41146.0,41146.0,0.0,1311.0,23046.0,0.9867588539573624
